id|title|description|google product category|product type|link|mobile link|image link|condition|availability|price|sale_price|sale price effective date|brand|gtin|mpn|identifier exists|tax|shipping|shipping label|shipping weight|multipack|expiration date
hdb001|Bath Minerals and Salt|100% pure Dead Sea salts. Fragrance.||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/bath-minerals-and-salt.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/bath-minerals-and-salt.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb001_2.jpg|new|out of stock|25 USD||||hdb001||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb002|Shea Enfused Hydrating Body Lotion|Milk and shea extracts. Long lasting moisturizer. 100% natural and gentle enough for sensitive skin. Fast absorbing. Non greasy. 250mL/8.4oz. Domestic.||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/shea-enfused-hydrating-body-lotion.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/shea-enfused-hydrating-body-lotion.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb002_1.jpg|new|in stock|28 USD||||hdb002||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb005|Titian Raw Silk Pillow|20" x 20". Raw Silk. Hidden zipper closure. Interior pillow included. 100% polyester fill. Dry clean. Imported.||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/titian-raw-silk-pillow.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/titian-raw-silk-pillow.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb005_1.jpg|new|in stock|125 USD||||hdb005||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb006|Shay Printed Pillow|20" x 20". Printed polyester. Hidden zipper closure. Interior pillow included. 100% polyester fill. Spot clean. Imported.||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/shay-printed-pillow.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/shay-printed-pillow.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb006_1.jpg|new|in stock|210 USD||||hdb006||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb007|Carnegie Alpaca Throw|Woven alpaca wool. 4" fringe detail. Dry clean. Imported.||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/carnegie-alpaca-throw.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/carnegie-alpaca-throw.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb007_1.jpg|new|in stock|275 USD||||hdb007||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb008|Park Row Throw|Woven acrylic/wool/cotton. 50" x 75". Spot clean.||Home & Decor,Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/park-row-throw.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/park-row-throw.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb008_1.jpg|new|in stock|120.0000 USD||||hdb008||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb009|Gramercy Throw|Woven cotton. 60" x 72". Machine wash.||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/gramercy-throw.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/gramercy-throw.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb009_1.jpg|new|in stock|275 USD||||hdb009||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdd000|Herald Glass Vase|Blown glass. 10" diameter. 17" high. Imported.||Decorative Accents|http://localhost/magento/mage19/prepareGoogleDataFeed.php/herald-glass-vase.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/herald-glass-vase.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdd000_1.jpg|new|in stock|110 USD||||hdd000||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdd004|Stone Salt and Pepper Shakers|Glazed stoneware. 2" diam. 5.5" x 5.5" coaster. Set of 2. Domestic.||Decorative Accents|http://localhost/magento/mage19/prepareGoogleDataFeed.php/stone-salt-and-pepper-shakers.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/stone-salt-and-pepper-shakers.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdd004_1.jpg|new|in stock|65 USD||||hdd004||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdd005|Fragrance Diffuser Reeds|8" diffuser reeds. 2oz fragrance oil. Decorative wood container.||Decorative Accents|http://localhost/magento/mage19/prepareGoogleDataFeed.php/fragrance-diffuser-reeds.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/fragrance-diffuser-reeds.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdd005_1.jpg|new|in stock|75 USD||||hdd005||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdd006|Geometric Candle Holders|Painted glass. Geometric pattern. Set of 3. Domestic.||Decorative Accents,VIP|http://localhost/magento/mage19/prepareGoogleDataFeed.php/geometric-candle-holders.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/geometric-candle-holders.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdd006_1.jpg|new|in stock|90 USD||||hdd006||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde001|Madison LX2200|10x Optical Zoom with 24mm Wide-angle and close up.10.7-megapixel backside illuminated CMOS sensor for low light shooting.  3" Multi-angle LCD. SD/SDXC slot. Full HD Video. High speed continuous shooting (up to 5 shots in approx one second) Built in GPS. Easy Panorama. Rechargable Li-ion battery. File formats: Still-JPEG, Audio- WAV, Movies-MOV. Image size: up to 4600x3400. Built in flash. 3.5" x 5" x 4". 20oz.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-lx2200.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-lx2200.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde001t_2.jpg|new|in stock|425 USD||||hde001||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde003|Madison RX3400|18-55mm zoom lens. 3.0" LCD display with image editing features.  Built in flash with flash modes and pop up. SD/SDXC slot. Full 1080p HD video. Rechargable Lithium-Ion battery. File formats: NEF (RAW), JPEG, MOV. 5" x 3" x 4", 15oz.||Electronics,VIP|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-rx3400.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-rx3400.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde003a_2.jpg|new|in stock|715 USD||||hde003||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde004|16GB Memory Card|16GB SD memory card. Shock, water, and xray resistant.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/16gb-memory-card.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/16gb-memory-card.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde004__1.jpg|new|in stock|30 USD||||hde004||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde005|8GB Memory Card|8GB SD memory card. Shock, water, and xray resistant.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/8gb-memory-card.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/8gb-memory-card.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde005_.jpg|new|in stock|20 USD||||hde005||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde006|Large Camera Bag|Flap closure. Microfiber. 8.5" x 5" x 6". Domestic.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/large-camera-bag.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/large-camera-bag.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde006t.jpg|new|in stock|120 USD||||hde006||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde010|Madison Earbuds|Balanced audio. Enhanced bass.  Includes cable clip, diaphragm guard, cleaning tool, travel pouch and airline adapter.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-earbuds.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-earbuds.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde010_1.jpg|new|in stock|35 USD||||hde010||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde011|Madison Overear Headphones|Steel and aluminum. Soft leather pivoting earcups and adjustable headband.  Enhanced bass. Aggressive noise cancellation.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-overear-headphones.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-overear-headphones.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde011_1.jpg|new|in stock|125 USD||||hde011||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde012|Madison 8GB Digital Media Player|2.5-inch LCD screen for crisp, colorful video. Compatible with multiple audio formats. Available in 8GB. Earbuds not included.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-8gb-digital-media-player.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/madison-8gb-digital-media-player.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde012_3.jpg|new|in stock|150 USD||||hde012||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hde013|Compact mp3 Player|Ultra Compact. Up to 4GB built in flash memory. The microSD slot supports up to a 16GB microSDHC card for expanded storage options. Music and radio. Lithium-ion battery that runs up to 8 hours when fully charged. USB cable included. Earbuds not included.||Electronics|http://localhost/magento/mage19/prepareGoogleDataFeed.php/compact-mp3-player.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/compact-mp3-player.html|http://localhost/magento/mage19/media/catalog/product/h/d/hde013_.jpg|new|out of stock|40 USD||||hde013||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
msj000c|French Cuff Cotton Twill Oxford|Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.||Shirts|http://localhost/magento/mage19/prepareGoogleDataFeed.php/french-cuff-cotton-twill-oxford-565.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/french-cuff-cotton-twill-oxford-565.html|http://localhost/magento/mage19/media/catalog/product/m/s/msj000t_2.jpg|new|out of stock|190 USD||||msj000c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
msj003c|Slim fit Dobby Oxford Shirt|Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.||Men,Shirts|http://localhost/magento/mage19/prepareGoogleDataFeed.php/slim-fit-dobby-oxford-shirt-567.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/slim-fit-dobby-oxford-shirt-567.html|http://localhost/magento/mage19/media/catalog/product/m/s/msj003t_2.jpg|new|out of stock|140 USD||||msj003c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
msj006c|Plaid Cotton Shirt|Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.||Shirts|http://localhost/magento/mage19/prepareGoogleDataFeed.php/plaid-cotton-shirt-569.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/plaid-cotton-shirt-569.html|http://localhost/magento/mage19/media/catalog/product/m/s/msj006t.jpg|new|out of stock|160 USD||||msj006c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
msj009c|Sullivan Sport Coat|Two button, single vented, notched lapels. Three buttons at cuff. Interior buttoned welt pockets. Full polyester lining. 100% wool. Dry clean.||Blazers|http://localhost/magento/mage19/prepareGoogleDataFeed.php/oxford-sport-coat-474.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/oxford-sport-coat-474.html|http://localhost/magento/mage19/media/catalog/product/m/s/msj009t.jpg|new|out of stock|510 USD||||msj009c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
msj012c|Linen Blazer|Single vented, notched lapels. Flap pockets. Tonal stitching. Fully lined. Linen. Dry clean.||Blazers,New Arrivals,Men|http://localhost/magento/mage19/prepareGoogleDataFeed.php/linen-blazer-580.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/linen-blazer-580.html|http://localhost/magento/mage19/media/catalog/product/m/s/msj012t_2.jpg|new|out of stock|455 USD||||msj012c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
msj015c|Stretch Cotton Blazer|Two button, single vented, notched lapels. Slim cut through the shoulders chest and waist. Flap pockets, welt inside chest pockets. Cotton/lycra. Dry clean.||Blazers|http://localhost/magento/mage19/prepareGoogleDataFeed.php/stretch-cotton-blazer-582.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/stretch-cotton-blazer-582.html|http://localhost/magento/mage19/media/catalog/product/m/s/msj015t_1.jpg|new|out of stock|490 USD||||msj015c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mtk000c|Chelsea Tee|Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.||Tees, Knits and Polos|http://localhost/magento/mage19/prepareGoogleDataFeed.php/chelsea-tee-701.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/chelsea-tee-701.html|http://localhost/magento/mage19/media/catalog/product/m/t/mtk000t.jpg|new|out of stock|75 USD||||mtk000c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mtk002c|Chelsea Tee|Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.||Tees, Knits and Polos|http://localhost/magento/mage19/prepareGoogleDataFeed.php/chelsea-tee-702.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/chelsea-tee-702.html|http://localhost/magento/mage19/media/catalog/product/m/t/mtk002t.jpg|new|out of stock|75 USD||||mtk002c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mtk004c|Chelsea Tee|Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.||Tees, Knits and Polos,New Arrivals|http://localhost/magento/mage19/prepareGoogleDataFeed.php/chelsea-tee-703.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/chelsea-tee-703.html|http://localhost/magento/mage19/media/catalog/product/m/t/mtk004t.jpg|new|out of stock|75 USD||||mtk004c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mtk006c|Merino V-neck Pullover Sweater|Long sleeve, pull over style. V-neck. Relaxed fit through the chest. Ribbed neckline, cuff and hem. 100% Merino wool. Dry clean.||Tees, Knits and Polos|http://localhost/magento/mage19/prepareGoogleDataFeed.php/merino-v-neck-pullover-sweater-556.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/merino-v-neck-pullover-sweater-556.html|http://localhost/magento/mage19/media/catalog/product/m/t/mtk006t.jpg|new|out of stock|210 USD||||mtk006c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mtk009c|Lexington Cardigan Sweater|V-neck cardigan. Mother of pearl front button closure. Two dart pockets. Ribbed cuff and hem. 100% cotton. Hand wash.||Tees, Knits and Polos,VIP|http://localhost/magento/mage19/prepareGoogleDataFeed.php/lexington-cardigan-sweater-561.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/lexington-cardigan-sweater-561.html|http://localhost/magento/mage19/media/catalog/product/m/t/mtk009t.jpg|new|out of stock|240 USD||||mtk009c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mtk012c|Core Striped Sport Shirt|Slim fit. Two chest pockets. Silver grommet detail. Grinding and nicking at hems. 100% cotton. ||Tees, Knits and Polos|http://localhost/magento/mage19/prepareGoogleDataFeed.php/core-striped-sport-shirt-547.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/core-striped-sport-shirt-547.html|http://localhost/magento/mage19/media/catalog/product/m/t/mtk012t.jpg|new|out of stock|125 USD||||mtk012c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mpd003c|Bowery Chino Pants|Straight leg chino. Back pockets with button closure. 14" leg opening. Zip fly. 100% cotton.||Pants & Denim,Men|http://localhost/magento/mage19/prepareGoogleDataFeed.php/bowery-chino-pants-541.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/bowery-chino-pants-541.html|http://localhost/magento/mage19/media/catalog/product/m/p/mpd003t.jpg|new|out of stock|140 USD||||mpd003c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mpd006c|The Essential Boot Cut Jean|Lightly faded cotton denim. Sits below waist. Slim through hip and thigh. 15" leg opening. Zip fly. Machine wash. ||Pants & Denim|http://localhost/magento/mage19/prepareGoogleDataFeed.php/the-essential-boot-cut-jean-541.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/the-essential-boot-cut-jean-541.html|http://localhost/magento/mage19/media/catalog/product/m/p/mpd006t_2.jpg|new|out of stock|140 USD||||mpd006c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
mpd012c|Flat Front  Trouser|Flat front trouser. Slim through the hip thigh and ankle. Zip fly. Lined. 100% wool. Dry clean.||Pants & Denim|http://localhost/magento/mage19/prepareGoogleDataFeed.php/flat-front-trouser-542.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/flat-front-trouser-542.html|http://localhost/magento/mage19/media/catalog/product/m/p/mpd012t.jpg|new|out of stock|195 USD||||mpd012c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wbk000c|NoLIta Cami|Silk cami. Tie front detail, with hook and eye. Ruched neckline. Loose through the chest and bodice. 100% Silk. Dry clean.||Tops & Blouses|http://localhost/magento/mage19/prepareGoogleDataFeed.php/nolita-cami-577.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/nolita-cami-577.html|http://localhost/magento/mage19/media/catalog/product/w/b/wbk000t.jpg|new|out of stock|150 USD||||wbk000c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wbk003c|Tori Tank|Ribbed scoop neck tank. 100% cotton.Machine wash.||Tops & Blouses,New Arrivals,Women|http://localhost/magento/mage19/prepareGoogleDataFeed.php/tori-tank-576.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/tori-tank-576.html|http://localhost/magento/mage19/media/catalog/product/1/0/10_1307_1.png|new|out of stock|60 USD||||wbk003c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wbk006c|Delancy Cardigan Sweater|Oversized knitted silk blend cardigan. Front button closure. Ribbed hem. Silk/rayon. Dry clean.||Tops & Blouses|http://localhost/magento/mage19/prepareGoogleDataFeed.php/delancy-cardigan-sweater-578.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/delancy-cardigan-sweater-578.html|http://localhost/magento/mage19/media/catalog/product/w/b/wbk006t_2.jpg|new|out of stock|275 USD||||wbk006c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wbk009c|Ludlow Oxford Top|Oxford, fitted through the waist. V-neck, front button closure.100% cotton. Machine wash.||Tops & Blouses|http://localhost/magento/mage19/prepareGoogleDataFeed.php/ludlow-oxford-top-580.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/ludlow-oxford-top-580.html|http://localhost/magento/mage19/media/catalog/product/w/b/wbk009t.jpg|new|out of stock|185 USD||||wbk009c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wbk012c|Elizabeth Knit Top|Loose fitting from the shoulders, open weave knit top. Semi sheer.  Slips on. Faux button closure detail on the back. Linen/Cotton. Machine wash.||Tops & Blouses,New Arrivals|http://localhost/magento/mage19/prepareGoogleDataFeed.php/elizabeth-knit-top-582.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/elizabeth-knit-top-582.html|http://localhost/magento/mage19/media/catalog/product/w/b/wbk012t.jpg|new|out of stock|210 USD||||wbk012c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wsd000c|Essex Pencil Skirt|Knee length skirt. Sits on natural waist. Fitted through the hip. Exposed waist belt loops. Hidden zip and hook and eye closure in back. Full lining. Wool/cotton/polyester. Machine wash.||Dresses & Skirts|http://localhost/magento/mage19/prepareGoogleDataFeed.php/essex-pencil-skirt-527.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/essex-pencil-skirt-527.html|http://localhost/magento/mage19/media/catalog/product/w/s/wsd000t.jpg|new|out of stock|185 USD||||wsd000c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wsd005c|Racer Back Maxi Dress|Racer back maxi dress. Pull over style. Loose fitting. Straight skirt falls to floor. Viscose. ||Women,Dresses & Skirts|http://localhost/magento/mage19/prepareGoogleDataFeed.php/racer-back-maxi-dress-603.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/racer-back-maxi-dress-603.html|http://localhost/magento/mage19/media/catalog/product/w/s/wsd005t_2.jpg|new|out of stock|224 USD||||wsd005c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wsd008c|Ludlow Sheath Dress|Sleeveless, jewel neckline with deep Vee in back. Fitted through waist and hip. 100% polyester lining. Cotton/wool. Dry clean.||Dresses & Skirts|http://localhost/magento/mage19/prepareGoogleDataFeed.php/ludlow-sheath-dress.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/ludlow-sheath-dress.html|http://localhost/magento/mage19/media/catalog/product/w/s/wsd008t_2.jpg|new|out of stock|305 USD||||wsd008c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wsd013c|Lafayette Convertible Dress|Two sash, convertible neckline with front ruffle detail. Unhemmed, visisble seams. Hidden side zipper. Unlined. Wool/elastane. Hand wash.||Dresses & Skirts,New Arrivals|http://localhost/magento/mage19/prepareGoogleDataFeed.php/lafayette-convertible-dress.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/lafayette-convertible-dress.html|http://localhost/magento/mage19/media/catalog/product/w/s/wsd013t.jpg|new|out of stock|340 USD||||wsd013c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
wpd000c|TriBeCa Skinny Jean|Ultra slim-fit, stretch denim. Mid rise. 5 pockets, tonal stitching,. Cotton. Machine wash.||Pants & Denim|http://localhost/magento/mage19/prepareGoogleDataFeed.php/tribeca-skinny-jean.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/tribeca-skinny-jean.html|http://localhost/magento/mage19/media/catalog/product/w/p/wpd000t.jpg|new|out of stock|185 USD||||wpd000c||true|US:FL:6:n|US:::0.00 USD|Free Shipping|||2015-09-09
